id	name
408	01. Democratic People's Republic of Korea, Total: 7,679,000
410	02. Republic of Korea, Total: 6,604,500
704	03. Vietnam, Total: 5,522,000
356	04. India, Total: 4,768,407
156	05. China, Total: 3,503,000
643	06. Russian Federation, Total: 3,364,000
840	07. USA, Total: 2,349,950
76	08. Brazil, Total: 2,053,480
158	09. Taiwan, Province of China, Total: 1,964,000
586	10. Pakistan, Total: 1,460,800
818	11. Egypt, Total: 1,314,500
804	12. Ukraine, Total: 1,234,900
192	13. Cuba, Total: 1,234,500
360	14. Indonesia, Total: 1,076,500
792	15. Turkey, Total: 991,500
364	16. Islamic Republic of Iran, Total: 913,000
368	17. Iraq, Total: 802,500
764 18. Thailand, Total: 698,550
170	19. Colombia, Total: 687,613
376	20. Israel, Total: 649,500
104	21. Myanmar, Total: 513,250
702	22. Singapore, Total: 504,100
12	23. Algeria, Total: 467,200
112	24. Belarus, Total: 447,500
458	25. Malaysia, Total: 429,900
484	26. Mexico, Total: 417,100
504	27. Morocco, Total: 395,800
31	28. Azerbaijan, Total: 381,950
604	29. Peru, Total: 380,000
246	30. Finland, Total: 379,000
380	31. Italy, Total: 377,800
300	32. Greece, Total: 364,000
250	33. France, Total: 355,250
100	34. Bulgaria, Total: 350,300
729	35. Sudan, Total: 349,300
4	36. Afghanistan, Total: 338,150
608	37. Philippines, Total: 336,500
232	38. Eritrea, Total: 321,750
392	39. Japan, Total: 315,900
620	40. Portugal, Total: 302,250
51	41. Armenia, Total: 259,100
144	42. Sri Lanka, Total: 259,000
756	43. Switzerland, Total: 257,900
760	44. Syria, Total: 250,000
682	45. Saudi Arabia, Total: 249,000
826	46. United Kingdom, Total: 248,250
724	47. Spain, Total: 229,800
276	48. Germany, Total: 226,770
50	49. Bangladesh, Total: 220,950
688	50. Serbia, Total: 214,500
